fixture,phi,N,replicates,median_null_minus_observed,sign_error_rate
matched_missingness,0.92,14,24,0.20821987116258978,1.0
matched_missingness,0.95,6,24,-0.010718501474082931,0.25
matched_missingness,0.95,10,24,0.0470083041396222,0.875
matched_missingness,0.95,14,24,0.15081774496192923,1.0
heteroskedastic,-0.9,6,24,-0.1404303129465949,0.9583333333333334
heteroskedastic,-0.9,10,24,-0.16755583362141913,1.0
heteroskedastic,-0.9,14,24,-0.21020038131944324,1.0
heteroskedastic,-0.6,6,24,-0.024153365290823514,0.6666666666666666
heteroskedastic,-0.6,10,24,-0.15654979371558336,0.9166666666666666
heteroskedastic,-0.6,14,24,-0.18078261531611345,1.0
heteroskedastic,-0.3,6,24,-0.01368628192061866,0.5833333333333334
heteroskedastic,-0.3,10,24,-0.11561484320553818,0.7916666666666666
heteroskedastic,-0.3,14,24,-0.14344653154573342,0.875
heteroskedastic,0.0,6,24,0.028018532261531573,0.0
heteroskedastic,0.0,10,24,-0.0031799340402243817,0.0
heteroskedastic,0.0,14,24,-0.038028652516934595,0.0
heteroskedastic,0.3,6,24,0.050522204018656924,0.875
heteroskedastic,0.3,10,24,0.11157035608995033,0.9166666666666666
heteroskedastic,0.3,14,24,0.10718888823909686,0.875
heteroskedastic,0.6,6,24,0.11645606248932226,0.9583333333333334
heteroskedastic,0.6,10,24,0.21738782367195963,1.0
heteroskedastic,0.6,14,24,0.29672181279399,1.0
heteroskedastic,0.8,6,24,0.1101511483474579,0.9583333333333334
heteroskedastic,0.8,10,24,0.2187112405212433,1.0
heteroskedastic,0.8,14,24,0.3123567480008891,1.0
heteroskedastic,0.92,6,24,0.01949147517135541,0.7916666666666666
heteroskedastic,0.92,10,24,0.13485976298847516,1.0
heteroskedastic,0.92,14,24,0.1951621079558096,1.0
heteroskedastic,0.95,6,24,0.00218627360724849,0.5833333333333334
heteroskedastic,0.95,10,24,0.055642212387371215,0.9166666666666666
heteroskedastic,0.95,14,24,0.13128522844979462,1.0
change_point,-0.9,6,24,-0.4288835658261366,1.0
change_point,-0.9,10,24,-0.31021040166805675,1.0
change_point,-0.9,14,24,-0.2352219828780881,1.0
change_point,-0.6,6,24,-0.1222072377350037,1.0
change_point,-0.6,10,24,-0.08157316027173961,1.0
change_point,-0.6,14,24,-0.05829977217073751,1.0
change_point,-0.3,6,24,-0.05521856321584839,1.0
change_point,-0.3,10,24,-0.03318578595704824,1.0
change_point,-0.3,14,24,-0.016831925488160038,1.0
change_point,0.0,6,24,-0.004385084659194183,0.0
change_point,0.0,10,24,0.009639650196536287,0.0
change_point,0.0,14,24,0.003776043185518163,0.0
change_point,0.3,6,24,0.06638307663736043,1.0
change_point,0.3,10,24,0.059016374463437826,1.0
change_point,0.3,14,24,0.050672927422595604,1.0
change_point,0.6,6,24,0.14305598668595437,1.0
change_point,0.6,10,24,0.14745445173849758,1.0
change_point,0.6,14,24,0.13309384918448913,1.0
change_point,0.8,6,24,0.1306470805683102,1.0
change_point,0.8,10,24,0.20149769880171986,1.0
change_point,0.8,14,24,0.25313089917519943,1.0
change_point,0.92,6,24,0.015899401085976872,0.7916666666666666
change_point,0.92,10,24,0.08897319461519909,1.0
change_point,0.92,14,24,0.1813823647137187,1.0
change_point,0.95,6,24,-0.0034670860384263813,0.4583333333333333
change_point,0.95,10,24,0.04471576571890795,1.0
change_point,0.95,14,24,0.12619410243556,1.0
recovery_pulses,-0.9,6,24,-0.27504809467155733,1.0
recovery_pulses,-0.9,10,24,-0.12432008161276153,1.0
recovery_pulses,-0.9,14,24,-0.1918324788386618,1.0
recovery_pulses,-0.6,6,24,-0.05227525109372479,0.9583333333333334
recovery_pulses,-0.6,10,24,0.1387280612922493,0.0
recovery_pulses,-0.6,14,24,0.06237307219883692,0.0
recovery_pulses,-0.3,6,24,0.034951685090540974,0.25
recovery_pulses,-0.3,10,24,0.19313755233179056,0.0
recovery_pulses,-0.3,14,24,0.14317877414086377,0.0
