station,N,phase,registered_v021_phase,observed_score,null_median,signed_effect,lower_tail_local_p,month_boundary_crossings,trailing_days_dropped,status
Tiantan,6,3,False,-0.06556361316524126,0.1681540734353141,-0.23371768660055536,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,6,4,False,-0.05695683077867264,0.17536226803412758,-0.23231909881280022,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Tiantan,6,5,False,0.01289492961265272,0.1797140155110598,-0.1668190858984071,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,0,True,0.12762233597435446,0.2688859156732408,-0.14126357969888637,0.0078125,39,3,REGISTERED
Wanliu,6,1,False,0.18730502175109637,0.2614073436491552,-0.07410232189805882,0.0546875,40,2,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,2,False,0.1365039014828879,0.27224802844260615,-0.13574412695971824,0.0078125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,3,False,0.04633141028435034,0.27795805757017905,-0.2316266472858287,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,4,False,0.07246553671761427,0.28261340588933326,-0.210147869171719,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Wanliu,6,5,False,0.10685723065095887,0.27116083677333525,-0.16430360612237638,0.0078125,37,4,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,0,True,0.015932630070596074,0.18150375368382937,-0.16557112361323328,0.0078125,39,3,REGISTERED
Wanshouxigong,6,1,False,0.05166597667375298,0.1893930412149644,-0.13772706454121142,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,2,False,0.05464316609578949,0.17463854642766796,-0.11999538033187848,0.0234375,40,1,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,3,False,-0.03695750334751941,0.17924428094959158,-0.21620178429711098,0.0078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,4,False,0.00957200869815139,0.182696407871229,-0.17312439917307762,0.0078125,39,5,POST_HOC_DIAGNOSTIC_ONLY
Wanshouxigong,6,5,False,0.06685565443331648,0.187963700210158,-0.12110804577684153,0.015625,37,4,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,0,True,0.05121368162670766,0.21077590053761314,-0.15956221891090547,0.0078125,41,5,REGISTERED
Aotizhongxin,7,1,False,0.053221212382327465,0.21710171250320529,-0.16388050012087782,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,2,False,0.04590058458245013,0.21205849824973713,-0.166157913667287,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,3,False,0.02261303118165763,0.20551601882674933,-0.1829029876450917,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,4,False,0.09178386515581254,0.21259679172449475,-0.12081292656868221,0.03125,40,1,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,5,False,0.11613760954891271,0.21866745777246197,-0.10252984822354926,0.0390625,40,0,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,7,6,False,0.025702993622225574,0.21445063407338452,-0.18874764045115894,0.0078125,41,6,POST_HOC_DIAGNOSTIC_ONLY
Changping,7,0,True,0.08118355593820688,0.2431010206471469,-0.16191746470894003,0.0078125,41,5,REGISTERED
Changping,7,1,False,0.06539833846315876,0.23848265344600061,-0.17308431498284185,0.015625,41,4,POST_HOC_DIAGNOSTIC_ONLY
Changping,7,2,False,0.07160458485088632,0.23643765887330204,-0.1648330740224157,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Changping,7,3,False,0.049251780696489444,0.2513429439938363,-0.20209116329734683,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
Changping,7,4,False,0.08830444280371405,0.2499171468132822,-0.16161270400956815,0.015625,40,1,POST_HOC_DIAGNOSTIC_ONLY
Changping,7,5,False,0.14969705558359178,0.24949945359932763,-0.09980239801573584,0.078125,40,0,POST_HOC_DIAGNOSTIC_ONLY
Changping,7,6,False,0.08547204026255975,0.24887246158015566,-0.1634004213175959,0.015625,41,6,POST_HOC_DIAGNOSTIC_ONLY
Dingling,7,0,True,0.13741994403860197,0.2629988334720255,-0.12557888943342355,0.0234375,41,5,REGISTERED
Dingling,7,1,False,0.09100039474888831,0.2606873065778607,-0.1696869118289724,0.0078125,41,4,POST_HOC_DIAGNOSTIC_ONLY
Dingling,7,2,False,0.06743933702169645,0.25618049169813967,-0.1887411546764432,0.0078125,39,3,POST_HOC_DIAGNOSTIC_ONLY
Dingling,7,3,False,0.03957157858805565,0.26568346069542176,-0.2261118821073661,0.015625,40,2,POST_HOC_DIAGNOSTIC_ONLY
Dingling,7,4,False,0.10518542860977119,0.25892984726696927,-0.15374441865719807,0.015625,40,1,POST_HOC_DIAGNOSTIC_ONLY
Dingling,7,5,False,0.17301510662858147,0.26959271251919437,-0.0965776058906129,0.0546875,40,0,POST_HOC_DIAGNOSTIC_ONLY
Dingling,7,6,False,0.10068956712120858,0.2775048657577584,-0.17681529863654982,0.015625,41,6,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,7,0,True,0.14134637965120986,0.2842504224037612,-0.14290404275255134,0.015625,41,5,REGISTERED
Dongsi,7,1,False,0.140509963287662,0.2766443511166933,-0.13613438782903128,0.0234375,41,4,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,7,2,False,0.12770519866744418,0.2886876009808158,-0.16098240231337163,0.015625,39,3,POST_HOC_DIAGNOSTIC_ONLY
Dongsi,7,3,False,0.11330272762279399,0.2951790514533122,-0.18187632383051822,0.0078125,40,2,POST_HOC_DIAGNOSTIC_ONLY
