fixture,phi,N,sample_length,missingness,parent_count,parent_correlation,replicates,upper_tail_detection_rate,sign_error_rate,median_null_minus_observed,status
ar2_oscillatory,-0.6,6,1461,fixture-specific,12,0.0,24,0.0,0.25,0.03501584677609547,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,-0.6,10,1461,fixture-specific,12,0.0,24,0.3333333333333333,0.9166666666666666,-0.10413571799867499,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,-0.6,14,1461,fixture-specific,12,0.0,24,0.6666666666666666,1.0,-0.1889669033728297,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,-0.3,6,1461,fixture-specific,12,0.0,24,0.0,0.16666666666666666,0.03640303207479434,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,-0.3,10,1461,fixture-specific,12,0.0,24,0.25,0.9583333333333334,-0.09158078670035505,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,-0.3,14,1461,fixture-specific,12,0.0,24,0.5,1.0,-0.17936531166949832,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.0,6,1461,fixture-specific,12,0.0,24,0.0,0.0,0.11652461718357436,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.0,10,1461,fixture-specific,12,0.0,24,0.16666666666666666,0.0,-0.07732742706489507,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.0,14,1461,fixture-specific,12,0.0,24,0.4166666666666667,0.0,-0.12650934982714568,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.3,6,1461,fixture-specific,12,0.0,24,0.0,0.8333333333333334,0.044221098898568505,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.3,10,1461,fixture-specific,12,0.0,24,0.08333333333333333,0.20833333333333334,-0.04506834497210023,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.3,14,1461,fixture-specific,12,0.0,24,0.25,0.125,-0.07143257038754258,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.6,6,1461,fixture-specific,12,0.0,24,0.0,0.875,0.0409127280632292,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.6,10,1461,fixture-specific,12,0.0,24,0.0,0.5416666666666666,0.020863535063708645,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.6,14,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.3333333333333333,-0.03501810826874575,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.8,6,1461,fixture-specific,12,0.0,24,0.0,0.9583333333333334,0.08676415007509553,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.8,10,1461,fixture-specific,12,0.0,24,0.0,0.9166666666666666,0.08844664690015044,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.8,14,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.7083333333333334,0.026304229589258595,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.92,6,1461,fixture-specific,12,0.0,24,0.0,1.0,0.13525439112587107,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.92,10,1461,fixture-specific,12,0.0,24,0.0,0.875,0.11355655291369357,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.92,14,1461,fixture-specific,12,0.0,24,0.0,0.8333333333333334,0.1236973548383131,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.95,6,1461,fixture-specific,12,0.0,24,0.0,1.0,0.12994634094186913,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.95,10,1461,fixture-specific,12,0.0,24,0.0,0.9166666666666666,0.12545692066464698,FROZEN_FORENSIC_CALIBRATION
ar2_oscillatory,0.95,14,1461,fixture-specific,12,0.0,24,0.0,0.75,0.07800417958550675,FROZEN_FORENSIC_CALIBRATION
mean_reverting,-0.9,6,1461,fixture-specific,12,0.0,24,0.0,0.16666666666666666,0.04487672899657136,FROZEN_FORENSIC_CALIBRATION
mean_reverting,-0.9,10,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.625,-0.02075850007644381,FROZEN_FORENSIC_CALIBRATION
mean_reverting,-0.9,14,1461,fixture-specific,12,0.0,24,0.0,0.5416666666666666,-0.011873548172638831,FROZEN_FORENSIC_CALIBRATION
mean_reverting,-0.6,6,1461,fixture-specific,12,0.0,24,0.0,0.0,0.2968798163019517,FROZEN_FORENSIC_CALIBRATION
mean_reverting,-0.6,10,1461,fixture-specific,12,0.0,24,0.0,0.0,0.17132328997010723,FROZEN_FORENSIC_CALIBRATION
mean_reverting,-0.6,14,1461,fixture-specific,12,0.0,24,0.0,0.041666666666666664,0.08835584815251349,FROZEN_FORENSIC_CALIBRATION
mean_reverting,-0.3,6,1461,fixture-specific,12,0.0,24,0.0,0.0,0.30015052730124603,FROZEN_FORENSIC_CALIBRATION
mean_reverting,-0.3,10,1461,fixture-specific,12,0.0,24,0.0,0.0,0.14895047059595418,FROZEN_FORENSIC_CALIBRATION
mean_reverting,-0.3,14,1461,fixture-specific,12,0.0,24,0.0,0.041666666666666664,0.10855595235058513,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.0,6,1461,fixture-specific,12,0.0,24,0.0,0.0,0.30042131600883343,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.0,10,1461,fixture-specific,12,0.0,24,0.0,0.0,0.18260495984104538,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.0,14,1461,fixture-specific,12,0.0,24,0.0,0.0,0.09881500999803253,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.3,6,1461,fixture-specific,12,0.0,24,0.0,1.0,0.29676577186238884,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.3,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.18182558766507395,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.3,14,1461,fixture-specific,12,0.0,24,0.0,0.875,0.118032473443766,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.6,6,1461,fixture-specific,12,0.0,24,0.0,1.0,0.29781433938341406,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.6,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.18204791678339322,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.6,14,1461,fixture-specific,12,0.0,24,0.0,0.875,0.12432713663081954,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.8,6,1461,fixture-specific,12,0.0,24,0.0,1.0,0.2000069311583516,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.8,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.19096236574242886,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.8,14,1461,fixture-specific,12,0.0,24,0.0,0.9166666666666666,0.09322658570421749,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.92,6,1461,fixture-specific,12,0.0,24,0.0,0.9583333333333334,0.06825927825041439,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.92,10,1461,fixture-specific,12,0.0,24,0.0,0.875,0.06711096896072183,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.92,14,1461,fixture-specific,12,0.0,24,0.0,0.7916666666666666,0.0647176843859258,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.95,6,1461,fixture-specific,12,0.0,24,0.0,0.6666666666666666,0.03604877092938371,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.95,10,1461,fixture-specific,12,0.0,24,0.0,0.7083333333333334,0.05915958780379933,FROZEN_FORENSIC_CALIBRATION
mean_reverting,0.95,14,1461,fixture-specific,12,0.0,24,0.0,0.7083333333333334,0.08130530615170617,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,-0.9,6,1461,fixture-specific,12,0.0,24,1.0,1.0,-0.31078235758647327,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,-0.9,10,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.625,-0.01758863015531731,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,-0.9,14,1461,fixture-specific,12,0.0,24,0.0,0.0,0.12346391022745758,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,-0.6,6,1461,fixture-specific,12,0.0,24,0.75,1.0,-0.11536360975631194,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,-0.6,10,1461,fixture-specific,12,0.0,24,0.0,0.041666666666666664,0.14571674344936053,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,-0.6,14,1461,fixture-specific,12,0.0,24,0.0,0.0,0.2779014176565765,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,-0.3,6,1461,fixture-specific,12,0.0,24,0.25,0.9583333333333334,-0.05733188405491674,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,-0.3,10,1461,fixture-specific,12,0.0,24,0.0,0.0,0.18587095198515957,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,-0.3,14,1461,fixture-specific,12,0.0,24,0.0,0.0,0.2954235708165012,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.0,6,1461,fixture-specific,12,0.0,24,0.16666666666666666,0.0,-0.06139968065015433,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.0,10,1461,fixture-specific,12,0.0,24,0.0,0.0,0.19777503335962507,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.0,14,1461,fixture-specific,12,0.0,24,0.0,0.0,0.31401286526417327,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.3,6,1461,fixture-specific,12,0.0,24,0.041666666666666664,0.4583333333333333,-0.003501188533758859,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.3,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.20826431414273733,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.3,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.32292947392347615,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.6,6,1461,fixture-specific,12,0.0,24,0.0,0.6666666666666666,0.017290676015066342,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.6,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.2285532869221757,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.6,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.37501798284296267,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.8,6,1461,fixture-specific,12,0.0,24,0.0,0.9166666666666666,0.0630707114241868,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.8,10,1461,fixture-specific,12,0.0,24,0.0,1.0,0.2285114171813006,FROZEN_FORENSIC_CALIBRATION
bursty_episodes,0.8,14,1461,fixture-specific,12,0.0,24,0.0,1.0,0.36115052743995,FROZEN_FORENSIC_CALIBRATION
