station,condition,N,observed_score,null_median,observed_minus_null_median,signed_robust_z,absolute_robust_z,upper_tail_local_p,lower_tail_local_p,two_sided_local_p,rank_among_128_ascending,null_quantile,effect_direction,status
Aotizhongxin,outage_6h_30d,7,0.051262771096007215,0.2099703031212484,-0.15870753202524118,-3.210135120686182,3.210135120686182,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_6h_30d,8,0.09016421230006683,0.22697786174013476,-0.13681364944006794,-1.915767130785275,1.915767130785275,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_6h_30d,9,0.09590236351880364,0.22562795425882626,-0.1297255907400226,-1.8965293094042228,1.8965293094042228,0.96875,0.0390625,0.078125,5,0.03515625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_6h_30d,10,0.03924381152869447,0.258524530788123,-0.21928071925942852,-3.1944768140715443,3.1944768140715443,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_6h_30d,11,-0.03777547361409404,0.26985798688353735,-0.3076334604976314,-4.511731225302562,4.511731225302562,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_6h_30d,12,0.11732508708684002,0.2801169931682834,-0.1627919060814434,-2.595400515431769,2.595400515431769,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_6h_30d,13,0.0501135067296673,0.2790732368395972,-0.22895973010992993,-3.1251136229730605,3.1251136229730605,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_6h_30d,14,0.12333861625397022,0.2804371672008087,-0.15709855094683847,-2.2974842154515227,2.2974842154515227,0.984375,0.0234375,0.046875,3,0.01953125,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,6,0.042918530600185634,0.17946985321434883,-0.1365513226141632,-2.4294005352566495,2.4294005352566495,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,7,0.047222187715663375,0.19348484809984204,-0.14626266038417868,-2.91506664140155,2.91506664140155,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,8,0.08204630189977624,0.2117296322543229,-0.12968333035454666,-1.7236324459522463,1.7236324459522463,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,9,0.07935188949835549,0.21612477340259523,-0.13677288390423975,-2.008330211275139,2.008330211275139,0.96875,0.0390625,0.078125,5,0.03515625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,10,0.022196141148051778,0.23883603430265005,-0.21663989315459828,-3.1850958533599436,3.1850958533599436,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,11,-0.040219329787709146,0.24699973980829912,-0.2872190695960083,-3.9367831652630096,3.9367831652630096,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,12,0.09378767533547962,0.26263112209095113,-0.16884344675547153,-2.645861598083333,2.645861598083333,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,13,0.05104121030922803,0.2676567469743377,-0.2166155366651097,-2.61233711344706,2.61233711344706,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,outage_24h_90d,14,0.14016446845831101,0.26826318824757267,-0.12809871978926166,-1.6822595880946778,1.6822595880946778,0.9453125,0.0625,0.125,8,0.05859375,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,6,0.10743701047702932,0.1931690736354654,-0.08573206315843608,-1.548683691420581,1.548683691420581,0.9453125,0.0625,0.125,8,0.05859375,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,7,0.07741025843852908,0.20869889325618132,-0.13128863481765224,-2.416748259433008,2.416748259433008,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,8,0.13147044449205034,0.24103500040272127,-0.10956455591067094,-1.5280080354861618,1.5280080354861618,0.9453125,0.0625,0.125,8,0.05859375,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,9,0.0922174155854218,0.23901169292310895,-0.14679427733768713,-2.470821269477354,2.470821269477354,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,10,0.05409738712023818,0.25842116629593753,-0.20432377917569935,-2.8406369609607385,2.8406369609607385,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,11,-0.011670895628978054,0.2727729979629469,-0.28444389359192496,-4.492667884333673,4.492667884333673,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,12,0.04060999758087162,0.2885234416668215,-0.24791344408594987,-3.7637034035949997,3.7637034035949997,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,13,-0.007108559029579016,0.3018391276681791,-0.30894768669775813,-4.4790454717888215,4.4790454717888215,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,day_order_swap_010,14,0.03305908512562259,0.28857329791278236,-0.25551421278715974,-3.807385237670264,3.807385237670264,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,6,0.042398565670278214,0.1919546849344719,-0.14955611926419368,-2.8116313037496203,2.8116313037496203,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,7,0.05121368162670764,0.21077590053761314,-0.1595622189109055,-2.933882052499044,2.933882052499044,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,8,0.08523223531221406,0.2333554092153114,-0.14812317390309732,-2.257858142971961,2.257858142971961,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,9,0.09032450577931138,0.23539949095718923,-0.14507498517787787,-2.243433001359782,2.243433001359782,0.984375,0.0234375,0.046875,3,0.01953125,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,10,0.028324471031466975,0.2608160120291812,-0.2324915409977142,-3.426075508128701,3.426075508128701,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,11,0.0039816523927861365,0.27386812792160203,-0.2698864755288159,-4.01612351693864,4.01612351693864,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,12,0.06922958596102725,0.28550627529624295,-0.2162766893352157,-3.4395987779110744,3.4395987779110744,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,13,0.03778641600037275,0.2958763973475344,-0.25808998134716166,-3.6775738382082626,3.6775738382082626,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Aotizhongxin,cyclic_adjacency,14,0.09911133690934501,0.29156996694115506,-0.19245863003181005,-2.8318279204889287,2.8318279204889287,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,baseline,6,0.09098058713332569,0.21567636814881563,-0.12469578101548995,-2.180168200436828,2.180168200436828,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,baseline,7,0.0811835559382069,0.2431010206471469,-0.16191746470893997,-2.8200251283291484,2.8200251283291484,1.0,0.0078125,0.015625,1,0.00390625,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,baseline,8,0.1546458352517882,0.2634299466580692,-0.10878411140628097,-1.6702551279225566,1.6702551279225566,0.9453125,0.0625,0.125,8,0.05859375,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
Changping,baseline,9,0.11855247985527774,0.274141232224361,-0.15558875236908326,-2.3308350603718573,2.3308350603718573,0.9921875,0.015625,0.03125,2,0.01171875,NEGATIVE,POST_HOC_DIAGNOSTIC_ONLY
