station,N,observed_closure_error,null_median_closure_error,observed_minus_null_median,closure_local_p_less_equal,observed_winner,status
Guanyuan,5,1.4162009644233644,1.380906582966872,0.03529438145649233,1.0,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,6,1.4108216105770826,1.3793755083646204,0.031446102212462135,0.953125,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,7,1.413934635077175,1.3802292124135271,0.033705422663647955,0.9609375,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,8,1.391620351163166,1.380373531569538,0.011246819593627944,0.6953125,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,9,1.3701745991672525,1.3820179294013606,-0.011843330234108107,0.3359375,True,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,10,1.3892240850934416,1.3837287725052871,0.0054953125881544995,0.6328125,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,11,1.3928520471449821,1.385155998467509,0.0076960486774730885,0.734375,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,12,1.3990168323313374,1.383377823029555,0.015639009301782414,0.7890625,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,13,1.4062760038114712,1.3834649067730451,0.022811097038426098,0.875,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,14,1.390441552305252,1.3808428327076456,0.009598719597606387,0.71875,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,15,1.3795210939402418,1.3882879475939698,-0.00876685365372798,0.390625,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,16,1.4181397470751085,1.3834580841003508,0.03468166297475772,0.9296875,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,17,1.424116219921078,1.3867652702548854,0.03735094966619257,0.9609375,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,18,1.416134896078618,1.385512496403429,0.03062239967518887,0.9296875,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,19,1.3992667387121844,1.390591854137727,0.008674884574457531,0.625,False,POST_HOC_DIAGNOSTIC_ONLY
Guanyuan,20,1.4089226549192788,1.389048800049097,0.019873854870181784,0.8515625,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,4,1.4282447573858759,1.3782269758267622,0.05001778155911363,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,5,1.410605788516397,1.3774696651610723,0.033136123355324676,0.9453125,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,6,1.4101148021373888,1.3775121716582912,0.032602630479097616,0.96875,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,7,1.4114241665698901,1.3856775169725573,0.02574664959733286,0.953125,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,8,1.3889670484591377,1.3790956679584023,0.009871380500735327,0.703125,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,9,1.3739740214340037,1.3809997190723797,-0.007025697638376016,0.296875,True,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,10,1.3876741088068205,1.381577501675787,0.006096607131033549,0.609375,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,11,1.397386805537642,1.3799661420732414,0.01742066346440052,0.796875,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,12,1.4047964741871823,1.3833920785386844,0.021404395648497943,0.890625,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,13,1.4097416932592808,1.3861265979393291,0.02361509531995165,0.9453125,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,14,1.385244635963254,1.3857159410035504,-0.0004713050402964658,0.4921875,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,15,1.3908566238438484,1.3865264876777172,0.004330136166131204,0.5859375,False,POST_HOC_DIAGNOSTIC_ONLY
Gucheng,16,1.431289303781182,1.3865378188293973,0.044751484951784715,0.9921875,False,POST_HOC_DIAGNOSTIC_ONLY
