null_family,station,N,observed_score,null_median,null_minus_observed,upper_tail_local_p_32,lower_tail_local_p_32,status
circular_shift,Shunyi,13,0.08281772468736895,0.14750912768451585,0.0646914029971469,0.9375,0.09375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Shunyi,14,0.08423420582013076,0.14923181527144486,0.0649976094513141,0.90625,0.125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Tiantan,6,-0.033353973731924696,-0.016493281618806935,0.01686069211311776,0.59375,0.4375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Tiantan,7,-0.02065985410315172,-0.005330212668706567,0.015329641434445155,0.625,0.40625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Tiantan,8,-0.013742515553074375,0.031185359258981686,0.04492787481205606,0.8125,0.21875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Tiantan,9,0.024212271543590257,0.005380394865227439,-0.018831876678362818,0.40625,0.625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Tiantan,10,0.04597576726512829,0.07914704919303431,0.03317128192790602,0.9375,0.09375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Tiantan,11,-0.016304215384755925,0.08668755553911071,0.10299177092386663,0.96875,0.0625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Tiantan,12,0.0863447735637619,0.08439272376167731,-0.0019520498020845906,0.46875,0.5625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Tiantan,13,0.07619563264908795,0.10468575973398596,0.02849012708489801,0.6875,0.34375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Tiantan,14,0.1021260310878298,0.09748342219922711,-0.004642608888602698,0.46875,0.5625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanliu,6,0.12762233597435446,0.11398339796419105,-0.013638938010163415,0.5,0.53125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanliu,7,0.15031364660000385,0.1290166718022808,-0.02129697479772305,0.3125,0.71875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanliu,8,0.17778313628861786,0.1618736903349276,-0.01590944595369026,0.375,0.65625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanliu,9,0.20639885581934647,0.16899590546049065,-0.037402950358855824,0.3125,0.71875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanliu,10,0.1054293648996627,0.18535410924566442,0.07992474434600172,0.96875,0.0625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanliu,11,0.11359421080076365,0.16969032123318217,0.05609611043241852,0.84375,0.1875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanliu,12,0.21237663484533284,0.17087749578506226,-0.041499139060270585,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanliu,13,0.1609083984766144,0.18906885936836773,0.028160460891753336,0.6875,0.34375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanliu,14,0.17791789225592478,0.17071117521511822,-0.007206717040806554,0.46875,0.5625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanshouxigong,6,0.015932630070596074,0.019681064187288183,0.0037484341166921092,0.59375,0.4375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanshouxigong,7,0.07099445141142566,0.023567840361033158,-0.0474266110503925,0.21875,0.8125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanshouxigong,8,0.059221620029466675,0.0733930606231465,0.014171440593679828,0.5625,0.46875,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanshouxigong,9,0.11084753275784492,0.07913889478213877,-0.03170863797570615,0.1875,0.84375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanshouxigong,10,0.07577638900388349,0.09357307127719047,0.017796682273306982,0.90625,0.125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanshouxigong,11,0.04910877961644294,0.12101739502697541,0.07190861541053248,0.96875,0.0625,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanshouxigong,12,0.14407622996745173,0.1156345307230951,-0.028441699244356633,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanshouxigong,13,0.12306121630908796,0.13110921917104507,0.008048002861957101,0.59375,0.4375,POST_HOC_DIAGNOSTIC_ONLY
circular_shift,Wanshouxigong,14,0.18980995270987125,0.12439603232546932,-0.06541392038440193,0.21875,0.8125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Aotizhongxin,6,0.04239856567027825,0.04011653865230674,-0.002282027017971512,0.5,0.53125,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Aotizhongxin,7,0.05121368162670766,0.007803369455381143,-0.04341031217132652,0.34375,0.6875,POST_HOC_DIAGNOSTIC_ONLY
fixed_7d_block_permutation,Aotizhongxin,8,0.08523223531221409,0.03646046571151515,-0.04877176960069894,0.25,0.78125,POST_HOC_DIAGNOSTIC_ONLY
