station,N,phase,year_month_mean_variance_observed,year_month_mean_variance_null_median,status,block_mean_variance_observed,block_mean_variance_null_median,block_mean_variance_null_minus_observed,adjacent_block_covariance_observed,adjacent_block_covariance_null_median,adjacent_block_covariance_null_minus_observed,adjacent_block_correlation_observed,adjacent_block_correlation_null_median,adjacent_block_correlation_null_minus_observed,within_block_variance_observed,within_block_variance_null_median,within_block_variance_null_minus_observed,between_block_variance_observed,between_block_variance_null_median,between_block_variance_null_minus_observed,extreme_event_adjacency_observed,extreme_event_adjacency_null_median,extreme_event_adjacency_null_minus_observed,mean_run_length_observed,mean_run_length_null_median,mean_run_length_null_minus_observed,mean_reversion_rate_observed,mean_reversion_rate_null_median,mean_reversion_rate_null_minus_observed,month_boundary_crossings_observed,month_boundary_crossings_null_median,month_boundary_crossings_null_minus_observed
Aotizhongxin,7,4,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.20693622342795925,0.1459871020237134,-0.060949121404245854,0.0185129742785787,0.03087020342677883,0.01235722914820013,0.09178386515581254,0.21259679172449478,0.12081292656868224,0.602936031852631,0.6648480281077902,0.061911996255159196,0.20693622342795925,0.1459871020237134,-0.060949121404245854,0.005050505050505051,0.0,-0.005050505050505051,2.117021276595745,2.292134831460674,0.1751135548649292,0.7727272727272727,0.6714975845410628,-0.10122968818620992,40,40.0,0.0
Aotizhongxin,7,5,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.19872565068873774,0.1461609302588038,-0.05256472042993393,0.02333408257991895,0.032269453017702635,0.008935370437783686,0.11613760954891271,0.21866745777246197,0.10252984822354926,0.6174980277788874,0.6637383130861949,0.046240285307307505,0.19872565068873774,0.1461609302588038,-0.05256472042993393,0.005050505050505051,0.0,-0.005050505050505051,1.9134615384615385,2.2954545454545454,0.38199300699300687,0.7323232323232324,0.6714975845410628,-0.06082564778216959,40,40.0,0.0
Aotizhongxin,7,6,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.19218428501829216,0.14788423521873242,-0.04430004979955973,0.004913620866174212,0.031242014699393313,0.0263283938332191,0.025702993622225574,0.21445063407338452,0.18874764045115894,0.6122146963399837,0.6603077496412169,0.048093053301233146,0.19218428501829216,0.14788423521873242,-0.04430004979955973,0.0,0.0,0.0,1.8857142857142857,2.2758620689655173,0.3901477832512317,0.8020304568527918,0.6699029126213593,-0.13212754423143258,41,41.0,0.0
Aotizhongxin,8,0,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.18637537893097683,0.13356886952702093,-0.0528065094039559,0.01591382924486871,0.030664388714340716,0.014750559469472006,0.08523223531221409,0.2333554092153114,0.14812317390309732,0.6325069475362539,0.6778776335247799,0.045370685988526005,0.18637537893097683,0.13356886952702093,-0.0528065094039559,0.0,0.0,0.0,1.9885057471264367,2.3783783783783785,0.3898726312519418,0.7616279069767442,0.6629834254143646,-0.0986444815623796,42,42.0,0.0
Aotizhongxin,8,1,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.19313162455276167,0.13303444790524419,-0.060097176647517486,0.012753824074500394,0.03012549789859759,0.017371673824097197,0.06769335211550813,0.23125084363094417,0.16355749151543603,0.6211083334212482,0.6772310399063366,0.056122706485088436,0.19313162455276167,0.13303444790524419,-0.060097176647517486,0.0,0.0,0.0,1.851063829787234,2.3333333333333335,0.48226950354609954,0.7861271676300579,0.6629834254143646,-0.12314374221569324,41,41.0,0.0
Aotizhongxin,8,2,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.19223148991240618,0.13402973607768148,-0.0582017538347247,0.01840483194286939,0.029785510450471734,0.011380678507602344,0.09423222079697775,0.22685410018248103,0.1326218793855033,0.6223351929897948,0.6776884328095768,0.05535323981978202,0.19223148991240618,0.13402973607768148,-0.0582017538347247,0.005847953216374269,0.0,-0.005847953216374269,1.8695652173913044,2.3333333333333335,0.46376811594202905,0.783625730994152,0.6629834254143646,-0.12064230557978739,39,39.0,0.0
Aotizhongxin,8,3,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.17450813861139128,0.13329056280224091,-0.041217575809150364,0.006968585613253956,0.03029685344177192,0.023328267828517962,0.040529861631100124,0.22498154400323706,0.18445168237213694,0.6256353578433379,0.6787322303258259,0.053096872482487956,0.17450813861139128,0.13329056280224091,-0.041217575809150364,0.0,0.0,0.0,2.0476190476190474,2.3466666666666667,0.29904761904761923,0.7134502923976608,0.6574585635359116,-0.05599172886174919,42,42.0,0.0
Aotizhongxin,8,4,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.164475335266683,0.13333462551743613,-0.031140709749246875,0.007466281495159006,0.030251004625845065,0.02278472313068606,0.04606325547359319,0.2278374918744144,0.18177423640082122,0.6374294985062938,0.67752029117246,0.04009079266616622,0.164475335266683,0.13333462551743613,-0.031140709749246875,0.0,0.0,0.0,2.1375,2.3466666666666667,0.2091666666666665,0.7176470588235294,0.6574585635359116,-0.06018849528761783,42,42.0,0.0
Aotizhongxin,8,5,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.16561840886889945,0.133386286476321,-0.032232122392578444,0.012057608885373763,0.03113135217515567,0.019073743289781904,0.07393742160144137,0.23610997875091203,0.16217255714947065,0.6384056223577799,0.6777550625769009,0.03934944021912101,0.16561840886889945,0.133386286476321,-0.032232122392578444,0.0,0.0,0.0,2.097560975609756,2.3783783783783785,0.2808174027686223,0.7602339181286549,0.6574585635359116,-0.10277535459274334,40,40.0,0.0
Aotizhongxin,8,6,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1916409327010668,0.1316584100713906,-0.05998252262967621,0.012239955964771928,0.031105436837661933,0.018865480872890007,0.0643213491827933,0.23680618084487368,0.1724848316620804,0.6160116599175983,0.6758768776607962,0.05986521774319786,0.1916409327010668,0.1316584100713906,-0.05998252262967621,0.0,0.0,0.0,2.111111111111111,2.3835616438356166,0.2724505327245055,0.8,0.6555555555555556,-0.1444444444444445,42,42.0,0.0
Aotizhongxin,8,7,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.19486231964443945,0.13155264873484093,-0.06330967090959852,0.013629621484355765,0.030251206860483694,0.01662158537612793,0.07067737504544747,0.2398043184770817,0.16912694343163423,0.6192499467327317,0.6766640891994576,0.05741414246672594,0.19486231964443945,0.13155264873484093,-0.06330967090959852,0.0,0.0,0.0,2.0987654320987654,2.364864864864865,0.2660994327660995,0.7751479289940828,0.6611111111111111,-0.11403681788297171,41,41.0,0.0
Aotizhongxin,9,0,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.15870103303773572,0.12098146921364779,-0.037719563824087934,0.014095258364179597,0.028359778123168075,0.014264519758988478,0.09032450577931139,0.23539949095718926,0.14507498517787787,0.6612412873982121,0.6907365468384947,0.02949525944028264,0.15870103303773572,0.12098146921364779,-0.037719563824087934,0.0,0.0,0.0,1.776470588235294,2.390625,0.614154411764706,0.7733333333333333,0.6521739130434783,-0.12115942028985505,40,40.0,0.0
Aotizhongxin,9,1,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.16478503279740012,0.12209270178299088,-0.04269233101440924,0.01133900389606628,0.030070587726164142,0.01873158383009786,0.06960949180500584,0.25401585641009883,0.184406364605093,0.6484145382155793,0.6901447837341146,0.041730245518535325,0.16478503279740012,0.12209270178299088,-0.04269233101440924,0.0,0.0,0.0,1.853658536585366,2.3692307692307693,0.5155722326454033,0.7682119205298014,0.6521739130434783,-0.11603800748632309,42,42.0,0.0
Aotizhongxin,9,2,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1623091889320723,0.12118199915158784,-0.04112718978048446,0.020848170511921043,0.029073046555794516,0.008224876043873473,0.12556530958709197,0.24474215576194924,0.11917684617485727,0.6501118927593089,0.6902656891517922,0.04015379639248329,0.1623091889320723,0.12118199915158784,-0.04112718978048446,0.0,0.0,0.0,2.013157894736842,2.3692307692307693,0.3560728744939272,0.7894736842105263,0.6583850931677019,-0.13108859104282444,42,42.0,0.0
Aotizhongxin,9,3,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.15071625829076377,0.12123582898963964,-0.029480429301124128,0.012074930867679546,0.02984771044951424,0.017772779581834694,0.08198610167647068,0.25561792732028815,0.17363182564381746,0.6493873167943055,0.6899465353277109,0.04055921853340538,0.15071625829076377,0.12123582898963964,-0.029480429301124128,0.0,0.0,0.0,2.0405405405405403,2.4153846153846152,0.3748440748440749,0.7533333333333333,0.6459627329192547,-0.10737060041407864,41,41.0,0.0
Aotizhongxin,9,4,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.16358853416328725,0.12232605565686107,-0.041262478506426184,0.00782606387322751,0.029049005289781264,0.021222941416553752,0.04929858114785795,0.2444333584352674,0.19513477728740944,0.6403104168189712,0.6867457957537997,0.04643537893482852,0.16358853416328725,0.12232605565686107,-0.041262478506426184,0.0,0.0,0.0,2.0684931506849313,2.4126984126984126,0.34420526201348123,0.76,0.64375,-0.11624999999999996,44,44.0,0.0
Aotizhongxin,9,5,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.17751381482438713,0.12178045801452383,-0.0557333568098633,-0.00040647856432148943,0.03105220226470145,0.031458680829022936,-0.0023472357612699486,0.2544288445819053,0.25677608034317523,0.6317166506711599,0.687179345517165,0.05546269484600508,0.17751381482438713,0.12178045801452383,-0.0557333568098633,0.0,0.0,0.0,2.140845070422535,2.4444444444444446,0.3035993740219096,0.7218543046357616,0.64375,-0.07810430463576157,37,37.0,0.0
Aotizhongxin,9,6,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1764608594765171,0.12151481625079069,-0.05494604322572641,0.0004253772762647036,0.030461220100998106,0.030035842824733403,0.002474408114083551,0.25221069368739624,0.24973628557331268,0.630096016657969,0.6876803605631753,0.05758434390520628,0.1764608594765171,0.12151481625079069,-0.05494604322572641,0.0,0.0,0.0,1.9610389610389611,2.4126984126984126,0.4516594516594514,0.7533333333333333,0.65,-0.10333333333333328,45,45.0,0.0
Aotizhongxin,9,7,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.16279968701340983,0.12380620878673947,-0.03899347822667036,0.012406925641560219,0.03064129248540855,0.018234366843848333,0.0779900305133291,0.2480513495777184,0.17006131906438932,0.6431992441570189,0.6877605211311537,0.04456127697413481,0.16279968701340983,0.12380620878673947,-0.03899347822667036,0.0,0.0,0.0,1.9870129870129871,2.40625,0.4192370129870129,0.7631578947368421,0.64375,-0.1194078947368421,40,40.0,0.0
Aotizhongxin,9,8,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.15602602698958765,0.12164176207040449,-0.03438426491918316,0.02144399649458482,0.02952674699424016,0.008082750499655338,0.13996773148194175,0.24107889806826316,0.10111116658632141,0.653527308230342,0.6873337068220525,0.03380639859171053,0.15602602698958765,0.12164176207040449,-0.03438426491918316,0.0,0.0,0.0,1.8875,2.3846153846153846,0.4971153846153846,0.7466666666666667,0.65625,-0.0904166666666667,45,45.0,0.0
Aotizhongxin,10,0,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1639261395103175,0.11269296806357332,-0.05123317144674419,0.004741110024515579,0.029531928737883423,0.024790818713367843,0.028324471031466982,0.2608160120291812,0.2324915409977142,0.6487556886145188,0.6995735110171857,0.05081782240266686,0.1639261395103175,0.11269296806357332,-0.05123317144674419,0.0,0.0,0.0,1.844155844155844,2.491228070175439,0.6470722260195947,0.7659574468085106,0.6689655172413793,-0.09699192956713132,42,42.0,0.0
Aotizhongxin,10,1,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.15994344208289635,0.11240742148635581,-0.04753602059654054,0.00959389358721957,0.029910869968241882,0.02031697638102231,0.05891590329138037,0.26466714412270553,0.20575124083132518,0.6515085046681234,0.6990669463922268,0.047558441724103395,0.15994344208289635,0.11240742148635581,-0.04753602059654054,0.0,0.0,0.0,1.9722222222222223,2.508771929824561,0.5365497076023389,0.7730496453900709,0.6689655172413793,-0.10408412814869161,40,40.0,0.0
Aotizhongxin,10,2,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.15049796174525945,0.11284826795909005,-0.037649693786169405,0.018677608827990255,0.030574851087338987,0.011897242259348732,0.12272070195870095,0.2696134072643967,0.14689270530569576,0.6629149866557416,0.6960928320824405,0.03317784542669899,0.15049796174525945,0.11284826795909005,-0.037649693786169405,0.0,0.0,0.0,1.9859154929577465,2.5357142857142856,0.5497987927565391,0.7714285714285715,0.6736111111111112,-0.0978174603174603,41,41.0,0.0
Aotizhongxin,10,3,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.15391668081328566,0.11260801936115543,-0.04130866145213023,0.016882861582302032,0.03047842832772443,0.013595566745422397,0.10848527437579476,0.26667012526419515,0.1581848508884004,0.656752051587514,0.6973198313223151,0.04056777973480108,0.15391668081328566,0.11260801936115543,-0.04130866145213023,0.0,0.0,0.0,2.1194029850746268,2.508771929824561,0.38936894474993444,0.7872340425531915,0.6666666666666666,-0.12056737588652489,44,44.0,0.0
Aotizhongxin,10,4,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1481908594708208,0.11379806426079749,-0.03439279521002332,0.014251703889595797,0.03099637590394699,0.016744672014351192,0.09590675718475515,0.2736510363822193,0.17774427919746416,0.659423324447208,0.6973237344052086,0.03790040995800059,0.1481908594708208,0.11379806426079749,-0.03439279521002332,0.0,0.0,0.0,2.0579710144927534,2.491228070175439,0.43325705568268535,0.7446808510638298,0.6666666666666666,-0.07801418439716312,43,43.0,0.0
Aotizhongxin,10,5,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.14209371236481658,0.11448682098176147,-0.02760689138305511,0.017440236026711683,0.03154849010599115,0.014108254079279469,0.1222950620939312,0.27887382021358453,0.15657875811965333,0.67073844114273,0.6964563759812696,0.02571793483853968,0.14209371236481658,0.11448682098176147,-0.02760689138305511,0.0,0.0,0.0,1.9452054794520548,2.517857142857143,0.572651663405088,0.7730496453900709,0.6666666666666666,-0.1063829787234043,42,42.0,0.0
Aotizhongxin,10,6,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.14903992011584052,0.11444504577796161,-0.03459487433787892,0.01941432150709687,0.030422984147962063,0.011008662640865193,0.1289142812851645,0.2674880752946015,0.138573794009437,0.6650946312177033,0.6964265018014312,0.03133187058372788,0.14903992011584052,0.11444504577796161,-0.03459487433787892,0.0,0.0,0.0,2.0434782608695654,2.5636363636363635,0.5201581027667981,0.7357142857142858,0.6736111111111112,-0.062103174603174605,42,42.0,0.0
Aotizhongxin,10,7,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.14778485408768777,0.11358549726163104,-0.03419935682605672,0.021730581083552167,0.029693146431143007,0.00796256534759084,0.14542044904499316,0.26510042092698627,0.11967997188199311,0.6669794764028427,0.6975595475396806,0.030580071136837916,0.14778485408768777,0.11358549726163104,-0.03419935682605672,0.0,0.0,0.0,2.1044776119402986,2.517857142857143,0.4133795309168442,0.75,0.6736111111111112,-0.07638888888888884,41,41.0,0.0
Aotizhongxin,10,8,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.15020481092578877,0.11203565377934327,-0.038169157146445504,0.017784023487498857,0.029130075187136815,0.011346051699637958,0.11649330212168663,0.2613830599952687,0.14488975787358205,0.6639403809846951,0.6975858409150596,0.033645459930364496,0.15020481092578877,0.11203565377934327,-0.038169157146445504,0.0,0.0,0.0,2.203125,2.5454545454545454,0.3423295454545454,0.7214285714285714,0.6666666666666666,-0.05476190476190479,44,44.0,0.0
Aotizhongxin,10,9,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.15648807458717076,0.11317684183838389,-0.04331123274878687,0.007240381647227569,0.029651727953407085,0.022411346306179518,0.045571741574175234,0.2596682017180634,0.21409646014388814,0.6534526140767036,0.6990612690874309,0.045608655010727306,0.15648807458717076,0.11317684183838389,-0.04331123274878687,0.0,0.0,0.0,1.9583333333333333,2.508771929824561,0.550438596491228,0.7142857142857143,0.6736111111111112,-0.04067460317460314,44,44.0,0.0
Aotizhongxin,11,0,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1596230124701042,0.10645680582548006,-0.053166206644624125,0.0006494638752411411,0.028725328783397668,0.028075864908156528,0.003981652392786136,0.27386812792160203,0.2698864755288159,0.6559103525392593,0.7031604604904541,0.047250107951194775,0.1596230124701042,0.10645680582548006,-0.053166206644624125,0.0,0.0,0.0,1.8823529411764706,2.480769230769231,0.5984162895927603,0.7165354330708661,0.6641221374045801,-0.05241329566628594,42,42.0,0.0
Aotizhongxin,11,1,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1542985660196252,0.10664621712180988,-0.047652348897815305,0.004384059892342842,0.028670517762275742,0.0242864578699329,0.027931203107813555,0.2693356676708678,0.24140446456305426,0.6587154036767251,0.7032467054490876,0.04453130177236253,0.1542985660196252,0.10664621712180988,-0.047652348897815305,0.0,0.0,0.0,1.8028169014084507,2.5294117647058822,0.7265948632974315,0.7480314960629921,0.6641221374045801,-0.08390935865841198,43,43.0,0.0
Aotizhongxin,11,2,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1455329063582434,0.10789035890313715,-0.03764254745510624,0.007346828507244293,0.029715578115250527,0.022368749608006236,0.04981645961839483,0.275360240723198,0.22554378110480316,0.6654742325875446,0.7025055744974067,0.037031341909862125,0.1455329063582434,0.10789035890313715,-0.03764254745510624,0.0,0.0,0.0,2.0317460317460316,2.5098039215686274,0.4780578898225958,0.7480314960629921,0.6641221374045801,-0.08390935865841198,42,42.0,0.0
Aotizhongxin,11,3,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.14000621597303095,0.10694051230605738,-0.033065703666973575,0.00870945221324411,0.02975671195227367,0.021047259739029562,0.06159205595984882,0.2785696629200372,0.2169776069601884,0.67578747586083,0.7043167999373208,0.02852932407649078,0.14000621597303095,0.10694051230605738,-0.033065703666973575,0.0,0.0,0.0,1.9104477611940298,2.5294117647058822,0.6189640035118524,0.8031496062992126,0.6564885496183206,-0.14666105668089202,43,43.0,0.0
Aotizhongxin,11,4,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1317909563994876,0.10565265227505245,-0.026138304124435144,0.019468139173454694,0.02986458565773049,0.010396446484275797,0.1474161764169128,0.2767807187431187,0.12936454232620592,0.682754727834724,0.7059853540154175,0.023230626180693492,0.1317909563994876,0.10565265227505245,-0.026138304124435144,0.0,0.0,0.0,2.263157894736842,2.58,0.31684210526315804,0.71875,0.6641221374045801,-0.05462786259541985,43,43.0,0.0
Aotizhongxin,11,5,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.13427609695245896,0.10551416358791557,-0.028761933364543385,0.028876177639316044,0.029781636098009684,0.00090545845869364,0.2139402443762592,0.2832537783071541,0.0693135339308949,0.6720780071671149,0.7071061395935265,0.03502813242641167,0.13427609695245896,0.10551416358791557,-0.028761933364543385,0.0,0.0,0.0,2.280701754385965,2.5294117647058822,0.24871001031991735,0.7441860465116279,0.6641221374045801,-0.08006390910704775,42,42.0,0.0
Aotizhongxin,11,6,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.13288703604143112,0.1057943696973622,-0.027092666344068927,0.02378040192345849,0.029406464175266486,0.005626062251807996,0.17746854193231787,0.27769362948543785,0.10022508755311998,0.6803254039979951,0.7068700962798006,0.02654469228180545,0.13288703604143112,0.1057943696973622,-0.027092666344068927,0.0,0.0,0.0,2.064516129032258,2.56,0.49548387096774205,0.7559055118110236,0.6641221374045801,-0.09178337440644346,44,44.0,0.0
Aotizhongxin,11,7,0.06945591878252366,0.06945591878252366,POST_HOC_DIAGNOSTIC_ONLY,0.1322319324974004,0.1049179746150182,-0.027313957882382195,0.017106793870045815,0.02939972898335603,0.012292935113310213,0.12824604726135624,0.281305876366674,0.15305982910531774,0.6795780874102106,0.7071402503427383,0.027562162932527667,0.1322319324974004,0.1049179746150182,-0.027313957882382195,0.0,0.0,0.0,2.064516129032258,2.56,0.49548387096774205,0.7480314960629921,0.6641221374045801,-0.08390935865841198,42,42.0,0.0
