station,left_condition,right_condition,overlap_days,canonical_rmse,canonical_correlation,effectively_equivalent
Huairou,calibration_scale_095,cyclic_adjacency,1420,0.0013140467568047538,0.9999994098212805,True
Huairou,calibration_scale_105,sensor_noise_001,1420,0.015085084135233328,0.9998627101972277,False
Huairou,calibration_scale_105,outage_6h_30d,1411,0.048343903235403246,0.998575500215738,False
Huairou,calibration_scale_105,outage_24h_90d,1403,0.013230429863519516,0.9999389262821912,False
Huairou,calibration_scale_105,day_order_swap_010,1417,0.34593740964062947,0.9248548060168725,False
Huairou,calibration_scale_105,cyclic_adjacency,1420,0.0012221603940934082,0.9999995068201223,True
Huairou,sensor_noise_001,outage_6h_30d,1411,0.04966796890533008,0.9984957623330487,False
Huairou,sensor_noise_001,outage_24h_90d,1403,0.018210597216828904,0.9998161466137047,False
Huairou,sensor_noise_001,day_order_swap_010,1417,0.3470100298760236,0.9246065511992503,False
Huairou,sensor_noise_001,cyclic_adjacency,1420,0.014822817433098292,0.9998687475021247,False
Huairou,outage_6h_30d,outage_24h_90d,1395,0.03279855888997736,0.9993520841564555,False
Huairou,outage_6h_30d,day_order_swap_010,1408,0.3400261626237535,0.9275971506405601,False
Huairou,outage_6h_30d,cyclic_adjacency,1411,0.048433416900310826,0.9985780638765583,False
Huairou,outage_24h_90d,day_order_swap_010,1400,0.3484410592301275,0.9237587043156281,False
Huairou,outage_24h_90d,cyclic_adjacency,1403,0.013524366840891625,0.9999401163298645,False
Huairou,day_order_swap_010,cyclic_adjacency,1417,0.34584487408186715,0.9248451348602088,False
Nongzhanguan,baseline,calibration_scale_095,1435,0.0009517256204907339,0.9999996500599355,True
Nongzhanguan,baseline,calibration_scale_105,1435,0.000867435911012684,0.9999997088953793,True
Nongzhanguan,baseline,sensor_noise_001,1435,0.015089277729570073,0.9998691320362917,False
Nongzhanguan,baseline,outage_6h_30d,1428,0.05526039244713433,0.9982563478122715,False
Nongzhanguan,baseline,outage_24h_90d,1419,0.010501612557184747,0.9999422733266047,False
Nongzhanguan,baseline,day_order_swap_010,1435,0.32965224614855143,0.9375155300049792,False
Nongzhanguan,baseline,cyclic_adjacency,1435,0.0,1.0,True
Nongzhanguan,calibration_scale_095,calibration_scale_105,1435,0.001819155950293594,0.9999987206225498,True
Nongzhanguan,calibration_scale_095,sensor_noise_001,1435,0.014955217183051511,0.9998714672698716,False
Nongzhanguan,calibration_scale_095,outage_6h_30d,1428,0.055281536048282315,0.9982569809188361,False
Nongzhanguan,calibration_scale_095,outage_24h_90d,1419,0.01046119960954894,0.9999418755042109,False
Nongzhanguan,calibration_scale_095,day_order_swap_010,1435,0.3296384501947265,0.9375152733897635,False
Nongzhanguan,calibration_scale_095,cyclic_adjacency,1435,0.0009517256204907339,0.9999996500599355,True
Nongzhanguan,calibration_scale_105,sensor_noise_001,1435,0.015263383720773785,0.9998663749493465,False
Nongzhanguan,calibration_scale_105,outage_6h_30d,1428,0.05525579888295187,0.9982551624787722,False
Nongzhanguan,calibration_scale_105,outage_24h_90d,1419,0.010612787465665944,0.9999420273758642,False
Nongzhanguan,calibration_scale_105,day_order_swap_010,1435,0.329667945317581,0.9375150894435805,False
Nongzhanguan,calibration_scale_105,cyclic_adjacency,1435,0.000867435911012684,0.9999997088953793,True
Nongzhanguan,sensor_noise_001,outage_6h_30d,1428,0.056946593813999594,0.9981445349516984,False
Nongzhanguan,sensor_noise_001,outage_24h_90d,1419,0.017363836176202085,0.9998295362205177,False
Nongzhanguan,sensor_noise_001,day_order_swap_010,1435,0.3287360694977216,0.9378363152821476,False
Nongzhanguan,sensor_noise_001,cyclic_adjacency,1435,0.015089277729570073,0.9998691320362916,False
Nongzhanguan,outage_6h_30d,outage_24h_90d,1416,0.03065601531157736,0.9994627940741294,False
Nongzhanguan,outage_6h_30d,day_order_swap_010,1428,0.331786638158237,0.9362454880175886,False
Nongzhanguan,outage_6h_30d,cyclic_adjacency,1428,0.05526039244713433,0.9982563478122716,False
Nongzhanguan,outage_24h_90d,day_order_swap_010,1419,0.32914868779853446,0.937199456160461,False
Nongzhanguan,outage_24h_90d,cyclic_adjacency,1419,0.010501612557184747,0.9999422733266046,False
Nongzhanguan,day_order_swap_010,cyclic_adjacency,1435,0.32965224614855143,0.9375155300049792,False
Shunyi,baseline,calibration_scale_095,1423,0.0013022828996549934,0.9999996525913085,True
Shunyi,baseline,calibration_scale_105,1423,0.0012614706261861435,0.9999997112173455,True
Shunyi,baseline,sensor_noise_001,1423,0.015280941058477833,0.9998943937071191,False
Shunyi,baseline,outage_6h_30d,1417,0.05071285443016487,0.9984548981329692,False
Shunyi,baseline,outage_24h_90d,1406,0.028534621758928225,0.9995416256813262,False
Shunyi,baseline,day_order_swap_010,1423,0.26079659053206083,0.9586102659974738,False
Shunyi,baseline,cyclic_adjacency,1423,0.0,0.9999999999999999,True
Shunyi,calibration_scale_095,calibration_scale_105,1423,0.00256268163150679,0.9999987303292523,True
Shunyi,calibration_scale_095,sensor_noise_001,1423,0.01569568207056901,0.9998961029619267,False
Shunyi,calibration_scale_095,outage_6h_30d,1417,0.05061449688507524,0.998456000123923,False
Shunyi,calibration_scale_095,outage_24h_90d,1406,0.028395000888599014,0.9995404436121513,False
Shunyi,calibration_scale_095,day_order_swap_010,1423,0.2606679096170542,0.9586129821599608,False
Shunyi,calibration_scale_095,cyclic_adjacency,1423,0.0013022828996549934,0.9999996525913085,True
Shunyi,calibration_scale_105,sensor_noise_001,1423,0.014946762512807745,0.9998922258980308,False
Shunyi,calibration_scale_105,outage_6h_30d,1417,0.050836687296709815,0.9984532858487509,False
Shunyi,calibration_scale_105,outage_24h_90d,1406,0.02872019920779507,0.999542094558377,False
Shunyi,calibration_scale_105,day_order_swap_010,1423,0.2609345184969471,0.9586072204188434,False
Shunyi,calibration_scale_105,cyclic_adjacency,1423,0.0012614706261861435,0.9999997112173454,True
Shunyi,sensor_noise_001,outage_6h_30d,1417,0.053439394944547476,0.9983393763599039,False
Shunyi,sensor_noise_001,outage_24h_90d,1406,0.03496529982734464,0.999349315330432,False
Shunyi,sensor_noise_001,day_order_swap_010,1423,0.2622962039043182,0.9585113155631344,False
Shunyi,sensor_noise_001,cyclic_adjacency,1423,0.015280941058477833,0.9998943937071191,False
Shunyi,outage_6h_30d,outage_24h_90d,1401,0.03206738634227285,0.999372888678094,False
Shunyi,outage_6h_30d,day_order_swap_010,1417,0.26612904500885093,0.9568959173878143,False
Shunyi,outage_6h_30d,cyclic_adjacency,1417,0.05071285443016487,0.9984548981329691,False
Shunyi,outage_24h_90d,day_order_swap_010,1406,0.26250189770136806,0.9579362870334238,False
Shunyi,outage_24h_90d,cyclic_adjacency,1406,0.028534621758928225,0.9995416256813262,False
Shunyi,day_order_swap_010,cyclic_adjacency,1423,0.26079659053206083,0.9586102659974737,False
Tiantan,baseline,calibration_scale_095,1425,0.0011439105739035548,0.9999997195922936,True
Tiantan,baseline,calibration_scale_105,1425,0.001042059210117795,0.9999997674242042,True
Tiantan,baseline,sensor_noise_001,1425,0.013500011599704317,0.9998954646500808,False
Tiantan,baseline,outage_6h_30d,1420,0.05018463825303351,0.9984876714287837,False
Tiantan,baseline,outage_24h_90d,1408,0.011496022006503763,0.9999562385079723,False
Tiantan,baseline,day_order_swap_010,1425,0.3248148592765735,0.9363412955903898,False
Tiantan,baseline,cyclic_adjacency,1425,0.0,1.0,True
Tiantan,calibration_scale_095,calibration_scale_105,1425,0.0021859684924818105,0.9999989762706045,True
Tiantan,calibration_scale_095,sensor_noise_001,1425,0.013661315108726061,0.999896245745222,False
Tiantan,calibration_scale_095,outage_6h_30d,1420,0.050084985023019356,0.9984875254115667,False
Tiantan,calibration_scale_095,outage_24h_90d,1408,0.012041898354469461,0.9999557259504074,False
