station,condition,N,eligible,observed_score,null_median,null_mad,local_p,robust_z,issue_code
Aotizhongxin,calibration_scale_105,14,True,0.09895936607589538,0.2915895589579259,0.04568392804231591,1.0,-2.844048020012099,
Aotizhongxin,sensor_noise_001,6,True,0.04168660170599661,0.19178518328836844,0.0359068107222352,0.9921875,-2.8195237686526413,
Aotizhongxin,sensor_noise_001,7,True,0.048773816558497864,0.2088503818007139,0.0367099349166205,1.0,-2.941170130370984,
Aotizhongxin,sensor_noise_001,8,True,0.0851478205493504,0.23239656292040078,0.04490254279725642,1.0,-2.211855050665231,
Aotizhongxin,sensor_noise_001,9,True,0.08839108847715631,0.2347124526268871,0.04359528471038712,0.984375,-2.263832171039559,
Aotizhongxin,sensor_noise_001,10,True,0.028051959803081453,0.25866456902442686,0.046021747844924854,1.0,-3.379838472513332,
Aotizhongxin,sensor_noise_001,11,True,0.0032899207913693676,0.2718600274863952,0.0456372341316536,1.0,-3.969303983560113,
Aotizhongxin,sensor_noise_001,12,True,0.06824673803179246,0.28366492390979525,0.042415645281466074,1.0,-3.425565609900403,
Aotizhongxin,sensor_noise_001,13,True,0.037345865283947774,0.29404522376410935,0.04886759736053592,1.0,-3.5430705541145135,
Aotizhongxin,sensor_noise_001,14,True,0.09935794896663555,0.2889962044626956,0.04666589813035105,1.0,-2.740957660732628,
Aotizhongxin,outage_6h_30d,6,True,0.04440329681945839,0.19498170956048194,0.03511576199250424,0.9921875,-2.8922552781896873,
Aotizhongxin,outage_6h_30d,7,True,0.05126277109600719,0.20997030312124837,0.033346497822022786,1.0,-3.2101351206861928,
Aotizhongxin,outage_6h_30d,8,True,0.09016421230006676,0.2269778617401347,0.04816845473268502,0.9921875,-1.9157671307852688,
Aotizhongxin,outage_6h_30d,9,True,0.09590236351880362,0.22562795425882615,0.04613622989526861,0.96875,-1.8965293094042128,
Aotizhongxin,outage_6h_30d,10,True,0.03924381152869445,0.2585245307881231,0.046299543706299684,1.0,-3.194476814071537,
Aotizhongxin,outage_6h_30d,11,True,-0.03777547361409404,0.2698579868835374,0.04599031193342992,1.0,-4.511731225302557,
Aotizhongxin,outage_6h_30d,12,True,0.11732508708684009,0.2801169931682835,0.0423062397177833,1.0,-2.595400515431782,
Aotizhongxin,outage_6h_30d,13,True,0.0501135067296673,0.27907323683959734,0.0494161943796739,1.0,-3.125113622973046,
Aotizhongxin,outage_6h_30d,14,True,0.12333861625397026,0.28043716720080863,0.046120674182730304,0.984375,-2.2974842154515263,
Aotizhongxin,outage_24h_90d,6,True,0.04291853060018563,0.17946985321434888,0.03791165925952611,0.9921875,-2.429400535256652,
Aotizhongxin,outage_24h_90d,7,True,0.04722218771566336,0.19348484809984198,0.03384238682041246,1.0,-2.9150666414015536,
Aotizhongxin,outage_24h_90d,8,True,0.08204630189977621,0.21172963225432298,0.05074759887916122,0.9921875,-1.7236324459522523,
Aotizhongxin,outage_24h_90d,9,True,0.07935188949835548,0.2161247734025953,0.045934700291045155,0.96875,-2.008330211275139,
Aotizhongxin,outage_24h_90d,10,True,0.02219614114805177,0.23883603430265007,0.04587667461016298,1.0,-3.185095853359942,
Aotizhongxin,outage_24h_90d,11,True,-0.040219329787709125,0.2469997398082991,0.04920936720552915,1.0,-3.9367831652630065,
Aotizhongxin,outage_24h_90d,12,True,0.09378767533547962,0.26263112209095124,0.04304206414925155,1.0,-2.645861598083335,
Aotizhongxin,outage_24h_90d,13,True,0.05104121030922803,0.2676567469743378,0.055928914031654176,0.9921875,-2.6123371134470577,
Aotizhongxin,outage_24h_90d,14,True,0.14016446845831096,0.26826318824757267,0.05136032715170713,0.9453125,-1.6822595880946767,
Aotizhongxin,day_order_swap_010,6,True,0.10743701047702933,0.1931690736354653,0.03733847312499727,0.9453125,-1.54868369142058,
Aotizhongxin,day_order_swap_010,7,True,0.07741025843852907,0.20869889325618127,0.036641371588110316,1.0,-2.4167482594330054,
Aotizhongxin,day_order_swap_010,8,True,0.13147044449205036,0.24103500040272133,0.048363803600281335,0.9453125,-1.5280080354861594,
Aotizhongxin,day_order_swap_010,9,True,0.09221741558542183,0.239011692923109,0.040072256472544615,0.9921875,-2.4708212694773484,
Aotizhongxin,day_order_swap_010,10,True,0.054097387120238205,0.2584211662959374,0.04851535162336801,1.0,-2.840636960960734,
Aotizhongxin,day_order_swap_010,11,True,-0.011670895628978072,0.27277299796294696,0.0427039751783817,1.0,-4.492667884333662,
Aotizhongxin,day_order_swap_010,12,True,0.040609997580871644,0.2885234416668215,0.04442840183056673,1.0,-3.7637034035950085,
Aotizhongxin,day_order_swap_010,13,True,-0.007108559029579002,0.30183912766817916,0.04652383217625283,1.0,-4.479045471788816,
Aotizhongxin,day_order_swap_010,14,True,0.033059085125622556,0.28857329791278247,0.04526517929804533,1.0,-3.8073852376702733,
Aotizhongxin,cyclic_adjacency,6,True,0.04686913206129691,0.19813169493749522,0.036285722759164946,0.9921875,-2.811717478852588,
Aotizhongxin,cyclic_adjacency,7,True,0.05146270939578676,0.21204839017326646,0.035291648477364906,1.0,-3.069098850911929,
Aotizhongxin,cyclic_adjacency,8,True,0.0852312795938388,0.2334621559379876,0.04615254924792478,1.0,-2.1663019268159225,
Aotizhongxin,cyclic_adjacency,9,True,0.09049921765967069,0.23526360781894418,0.0477913645946238,0.984375,-2.0430938578949602,
Aotizhongxin,cyclic_adjacency,10,True,0.028471672290438517,0.25835235093887826,0.0454205833888264,1.0,-3.413703258790036,
Aotizhongxin,cyclic_adjacency,11,True,0.0033574865880826505,0.2737834844598188,0.04710898583949788,1.0,-3.8718693140235847,
Aotizhongxin,cyclic_adjacency,12,True,0.0691923868971898,0.28364765279629356,0.042408003627194046,1.0,-3.4108678267817907,
Aotizhongxin,cyclic_adjacency,13,True,0.034812015439615755,0.2947006522431182,0.04601380253432724,1.0,-3.8095630954681385,
Aotizhongxin,cyclic_adjacency,14,True,0.09737512330624332,0.29099188245347823,0.04450535632188324,1.0,-2.9343145571087854,
Changping,baseline,6,True,0.0909805871333257,0.2156763681488157,0.03857782717123054,1.0,-2.1801682004368383,
Changping,baseline,7,True,0.08118355593820688,0.24310102064714686,0.038727255529373755,1.0,-2.8200251283291426,
Changping,baseline,8,True,0.15464583525178818,0.2634299466580693,0.0439297426451673,0.9453125,-1.670255127922561,
Changping,baseline,9,True,0.1185524798552777,0.2741412322243608,0.04502385326857783,0.9921875,-2.330835060371847,
Changping,baseline,10,True,0.06505386589621673,0.28749967600176274,0.032325114489336004,1.0,-4.641519319288825,
Changping,baseline,11,True,0.10999622989894052,0.3052615395962264,0.0376928208948602,1.0,-3.4941573464222784,
Changping,baseline,12,True,0.11894854148845145,0.3175126991242926,0.04368983167714685,0.9921875,-3.0654659069946564,
Changping,baseline,13,True,0.07919654894717108,0.3093972149485255,0.0428423632927169,1.0,-3.6241750013278744,
Changping,baseline,14,True,0.11865294737245605,0.3173920136266995,0.04061388964194079,1.0,-3.3005374495592976,
Changping,calibration_scale_095,6,True,0.09094840225445001,0.21576893639649866,0.038723055897377595,1.0,-2.1741645880134737,
Changping,calibration_scale_095,7,True,0.08130626937317986,0.24326761536798364,0.038660935688760334,1.0,-2.825628229625232,
Changping,calibration_scale_095,8,True,0.15455079466142224,0.2635765833151121,0.04386763487861495,0.9453125,-1.6763358041764531,
Changping,calibration_scale_095,9,True,0.11854174988406747,0.2742301313559051,0.04515868397856204,0.9921875,-2.3253639258060024,
