station,N,closure_error,winner
Shunyi,14,1.3737408962867927,False
Shunyi,15,1.3662799277265076,False
Shunyi,16,1.399857414361732,False
Shunyi,17,1.4113834567865748,False
Shunyi,18,1.4153520574929568,False
Shunyi,19,1.4063963789854408,False
Shunyi,20,1.4063962531633218,False
Tiantan,4,1.4492763651506102,False
Tiantan,5,1.4190270489838708,False
Tiantan,6,1.4138150831517788,False
Tiantan,7,1.4115498060033678,False
Tiantan,8,1.393160326097854,False
Tiantan,9,1.3640723405930353,True
Tiantan,10,1.389209391300241,False
Tiantan,11,1.3986692723976675,False
Tiantan,12,1.3942487850624794,False
Tiantan,13,1.3995272771640135,False
Tiantan,14,1.3850316340453277,False
Tiantan,15,1.3746071413165355,False
Tiantan,16,1.4158337598745794,False
Tiantan,17,1.4172519845536822,False
Tiantan,18,1.415866675201851,False
Tiantan,19,1.410622342166832,False
Tiantan,20,1.4196858956834504,False
Wanliu,4,1.4365837295681392,False
Wanliu,5,1.4057641143210347,False
Wanliu,6,1.3962722414264805,False
Wanliu,7,1.3894965012853273,False
Wanliu,8,1.3673058720491982,False
Wanliu,9,1.3583944929177574,True
Wanliu,10,1.3731558706982694,False
Wanliu,11,1.3697913485314794,False
Wanliu,12,1.3766440626093364,False
Wanliu,13,1.3877951190850588,False
Wanliu,14,1.364972947179436,False
Wanliu,15,1.365271866287546,False
Wanliu,16,1.4020998980987445,False
Wanliu,17,1.4092417298285649,False
Wanliu,18,1.397862781128107,False
Wanliu,19,1.3887408221337965,False
Wanliu,20,1.389905323937352,False
Wanshouxigong,4,1.4430824779262366,False
Wanshouxigong,5,1.4144249255406374,False
Wanshouxigong,6,1.4114512374480752,False
Wanshouxigong,7,1.4062364142637749,False
Wanshouxigong,8,1.379533398795678,False
Wanshouxigong,9,1.3691027692303281,True
Wanshouxigong,10,1.3941824617669307,False
Wanshouxigong,11,1.4003164940004411,False
Wanshouxigong,12,1.3895371457079313,False
Wanshouxigong,13,1.3915770798377238,False
Wanshouxigong,14,1.3840605489060311,False
Wanshouxigong,15,1.3733324574513799,False
Wanshouxigong,16,1.405231687934542,False
Wanshouxigong,17,1.4146336787630076,False
Wanshouxigong,18,1.4072501219170432,False
Wanshouxigong,19,1.3953247665767248,False
Wanshouxigong,20,1.4134091328323652,False
