parent_count,nested_replicates,ICC,effect_size,heterogeneity,missingness,projection_disagreement,multiple_testing_family_size,estimated_rejection_probability,simulation_replicates
2,1,0.9,0.8,0.4,0.2,0.15,3,0.1892,2500
2,1,0.9,0.8,0.0,0.2,0.15,6,0.1768,2500
2,1,0.9,1.2,0.0,0.0,0.0,1,0.572,2500
2,1,0.9,1.2,0.4,0.0,0.0,1,0.5524,2500
2,1,0.9,1.2,0.4,0.2,0.15,3,0.2396,2500
2,1,0.9,1.2,0.0,0.2,0.15,6,0.2244,2500
2,10,0.0,0.0,0.0,0.0,0.0,1,0.306,2500
2,10,0.0,0.0,0.4,0.0,0.0,1,0.3036,2500
2,10,0.0,0.0,0.4,0.2,0.15,3,0.1524,2500
2,10,0.0,0.0,0.0,0.2,0.15,6,0.168,2500
2,10,0.0,0.4,0.0,0.0,0.0,1,0.6052,2500
2,10,0.0,0.4,0.4,0.0,0.0,1,0.454,2500
2,10,0.0,0.4,0.4,0.2,0.15,3,0.1968,2500
2,10,0.0,0.4,0.0,0.2,0.15,6,0.2428,2500
2,10,0.0,0.8,0.0,0.0,0.0,1,0.8952,2500
2,10,0.0,0.8,0.4,0.0,0.0,1,0.6912,2500
2,10,0.0,0.8,0.4,0.2,0.15,3,0.294,2500
2,10,0.0,0.8,0.0,0.2,0.15,6,0.384,2500
2,10,0.0,1.2,0.0,0.0,0.0,1,0.9816,2500
2,10,0.0,1.2,0.4,0.0,0.0,1,0.8812,2500
2,10,0.0,1.2,0.4,0.2,0.15,3,0.388,2500
2,10,0.0,1.2,0.0,0.2,0.15,6,0.454,2500
2,10,0.3,0.0,0.0,0.0,0.0,1,0.28,2500
2,10,0.3,0.0,0.4,0.0,0.0,1,0.3044,2500
2,10,0.3,0.0,0.4,0.2,0.15,3,0.1672,2500
2,10,0.3,0.0,0.0,0.2,0.15,6,0.1392,2500
2,10,0.3,0.4,0.0,0.0,0.0,1,0.3888,2500
2,10,0.3,0.4,0.4,0.0,0.0,1,0.3896,2500
2,10,0.3,0.4,0.4,0.2,0.15,3,0.164,2500
2,10,0.3,0.4,0.0,0.2,0.15,6,0.1832,2500
2,10,0.3,0.8,0.0,0.0,0.0,1,0.6228,2500
2,10,0.3,0.8,0.4,0.0,0.0,1,0.5412,2500
2,10,0.3,0.8,0.4,0.2,0.15,3,0.2484,2500
2,10,0.3,0.8,0.0,0.2,0.15,6,0.2384,2500
2,10,0.3,1.2,0.0,0.0,0.0,1,0.8076,2500
2,10,0.3,1.2,0.4,0.0,0.0,1,0.7208,2500
2,10,0.3,1.2,0.4,0.2,0.15,3,0.3208,2500
2,10,0.3,1.2,0.0,0.2,0.15,6,0.346,2500
2,10,0.6,0.0,0.0,0.0,0.0,1,0.3016,2500
2,10,0.6,0.0,0.4,0.0,0.0,1,0.2888,2500
2,10,0.6,0.0,0.4,0.2,0.15,3,0.1596,2500
2,10,0.6,0.0,0.0,0.2,0.15,6,0.1472,2500
2,10,0.6,0.4,0.0,0.0,0.0,1,0.3492,2500
2,10,0.6,0.4,0.4,0.0,0.0,1,0.348,2500
2,10,0.6,0.4,0.4,0.2,0.15,3,0.174,2500
2,10,0.6,0.4,0.0,0.2,0.15,6,0.1668,2500
2,10,0.6,0.8,0.0,0.0,0.0,1,0.5148,2500
2,10,0.6,0.8,0.4,0.0,0.0,1,0.4712,2500
2,10,0.6,0.8,0.4,0.2,0.15,3,0.198,2500
2,10,0.6,0.8,0.0,0.2,0.15,6,0.2188,2500
2,10,0.6,1.2,0.0,0.0,0.0,1,0.6716,2500
2,10,0.6,1.2,0.4,0.0,0.0,1,0.628,2500
2,10,0.6,1.2,0.4,0.2,0.15,3,0.278,2500
2,10,0.6,1.2,0.0,0.2,0.15,6,0.274,2500
2,10,0.9,0.0,0.0,0.0,0.0,1,0.296,2500
2,10,0.9,0.0,0.4,0.0,0.0,1,0.3064,2500
2,10,0.9,0.0,0.4,0.2,0.15,3,0.1672,2500
2,10,0.9,0.0,0.0,0.2,0.15,6,0.1572,2500
2,10,0.9,0.4,0.0,0.0,0.0,1,0.3492,2500
2,10,0.9,0.4,0.4,0.0,0.0,1,0.3504,2500
2,10,0.9,0.4,0.4,0.2,0.15,3,0.1676,2500
2,10,0.9,0.4,0.0,0.2,0.15,6,0.166,2500
2,10,0.9,0.8,0.0,0.0,0.0,1,0.4396,2500
2,10,0.9,0.8,0.4,0.0,0.0,1,0.4368,2500
2,10,0.9,0.8,0.4,0.2,0.15,3,0.2024,2500
2,10,0.9,0.8,0.0,0.2,0.15,6,0.194,2500
2,10,0.9,1.2,0.0,0.0,0.0,1,0.5892,2500
2,10,0.9,1.2,0.4,0.0,0.0,1,0.5544,2500
2,10,0.9,1.2,0.4,0.2,0.15,3,0.2324,2500
2,10,0.9,1.2,0.0,0.2,0.15,6,0.2348,2500
4,1,0.0,0.0,0.0,0.0,0.0,1,0.1632,2500
4,1,0.0,0.0,0.4,0.0,0.0,1,0.1496,2500
4,1,0.0,0.0,0.4,0.2,0.15,3,0.1384,2500
4,1,0.0,0.0,0.0,0.2,0.15,6,0.1196,2500
4,1,0.0,0.4,0.0,0.0,0.0,1,0.2224,2500
4,1,0.0,0.4,0.4,0.0,0.0,1,0.2212,2500
4,1,0.0,0.4,0.4,0.2,0.15,3,0.1524,2500
4,1,0.0,0.4,0.0,0.2,0.15,6,0.1536,2500
4,1,0.0,0.8,0.0,0.0,0.0,1,0.4436,2500
4,1,0.0,0.8,0.4,0.0,0.0,1,0.406,2500
4,1,0.0,0.8,0.4,0.2,0.15,3,0.2096,2500
4,1,0.0,0.8,0.0,0.2,0.15,6,0.1896,2500
4,1,0.0,1.2,0.0,0.0,0.0,1,0.6876,2500
4,1,0.0,1.2,0.4,0.0,0.0,1,0.646,2500
4,1,0.0,1.2,0.4,0.2,0.15,3,0.3188,2500
4,1,0.0,1.2,0.0,0.2,0.15,6,0.3044,2500
4,1,0.3,0.0,0.0,0.0,0.0,1,0.1316,2500
4,1,0.3,0.0,0.4,0.0,0.0,1,0.134,2500
4,1,0.3,0.0,0.4,0.2,0.15,3,0.1352,2500
4,1,0.3,0.0,0.0,0.2,0.15,6,0.126,2500
